Country,Covid_Deaths,Depression_Rates,Suicide_Rates,percent_Obesity,Seafood_Intake,Meat_Intake,Vegetable_Intake,Dairy_Intake
United States,0,22.00,15.40,40,124.24,67.31311,67.31310771,65.77
United States,0,21.60,15.10,40.5,126.0987,69.53571,69.53571032,62.32
United States,"380,248",26.40,15.00,41,120.202,71.48616,71.48615751,61.95
United States,"861,825",28.60,15.60,41.5,119.7484,70.76041,70.76040972,61.74
United States,"1,133,600",26.90,14.20,42,101.8768,72.07583,72.07582759,61.19
India,0,29.00,10.20,5.8,4.88,87.1,87.1,
India,0,4.50,10.40,6.2,5.06,87.53,87.53,56.87
India,"153,131",3.75,11.30,6.5,6.07,89.35,89.35,57.75
India,"488,961",4.43,12.00,6.9,5.69,90.58,90.58,58.69
India,"532,066",4.42,12.40,7.3,6.82,93.92,93.92,59.63
Brazil,0,8.29,6.70,24.3,59.68,53.28,53.28,52.54
Brazil,0,7.05,6.70,25.2,58.65,51.47,51.47,52.54
Brazil,"194,976",9.90,6.90,26.2,59.41,51.19,51.19,53.53
Brazil,"619,109",10.20,7.60,27.2,60.87,50.14,50.14,53.07
Brazil,"693,941",21.30,7.27,28.1,60.02,50.88,50.88,50.23
